"","votereg","presvote20post","gender4","educ"
"290",1,1,2,5
"291",1,2,2,2
"292",1,1,2,2
"293",1,1,2,3
"294",1,1,2,6
"295",1,2,2,3
"296",1,2,2,6
"297",1,2,2,3
"298",1,2,1,4
"299",1,2,2,6
"300",1,2,1,5
"301",1,1,1,2
"302",1,2,1,2
"303",1,1,1,5
"304",1,1,1,6
"305",1,6,1,2
"306",1,1,1,2
"307",1,2,2,6
"308",1,1,1,3
"309",2,6,2,1
"310",2,6,2,2
"311",1,4,2,6
"312",1,1,1,3
"313",1,1,1,5
"314",1,1,1,4
"315",1,1,2,4
"316",1,2,1,2
"317",1,1,2,5
"318",1,3,2,5
"319",1,1,2,5
"320",1,1,2,2
"321",1,2,2,4
"322",2,6,2,5
"323",1,6,2,3
"324",1,1,1,2
"325",1,1,2,5
"326",1,2,2,2
"327",1,2,2,4
"328",2,6,2,1
"329",1,1,1,6
"330",1,2,2,2
"331",1,6,2,5
"332",1,1,2,6
"333",1,1,1,2
"334",1,1,2,1
"335",1,1,1,6
"336",1,1,1,6
"337",1,1,1,3
"338",1,2,2,2
"339",1,2,1,6
"340",1,2,1,2
"341",2,2,2,4
"342",1,1,2,6
"343",1,1,2,6
"344",1,1,2,6
"345",1,1,2,3
"346",1,2,2,3
"347",1,1,2,3
"348",1,6,1,6
"349",1,1,1,6
"350",1,1,2,6
"351",1,1,2,6
"352",1,2,2,5
"353",1,2,2,3
"354",1,2,2,4
"355",1,1,1,3
"356",1,2,1,2
"357",1,2,1,3
"358",1,2,1,6
"359",1,2,2,6
"360",1,4,1,3
"361",1,2,2,3
"362",1,1,1,6
"363",1,1,1,2
"364",1,2,2,6
"365",1,1,1,6
"366",1,1,1,6
"367",1,1,1,3
"368",1,2,2,2
"369",1,1,1,2
"370",1,2,1,2
"371",1,1,2,5
"372",2,6,2,2
"373",1,2,1,3
"374",1,1,1,2
"375",3,6,2,2
"376",1,1,1,3
"377",1,1,2,6
"378",1,1,2,6
"379",1,1,1,2
"380",1,1,2,3
"381",1,2,1,5
"382",1,1,2,4
"383",1,1,2,6
"384",1,1,2,6
"385",1,1,2,3
"386",1,1,2,3
"387",1,2,1,2
"388",1,2,1,2
"389",1,1,2,6
"390",1,2,1,6
"391",1,2,2,2
"392",1,2,2,3
"393",1,2,2,3
"394",1,1,2,6
"395",1,6,2,6
"396",1,1,2,4
"397",1,1,2,4
"398",1,2,1,2
"399",1,1,1,2
"400",2,6,1,3
"401",1,6,1,3
"402",1,1,2,4
"403",1,1,2,4
"404",1,1,1,4
"405",1,6,1,2
"406",1,2,2,2
"407",1,1,2,2
"408",1,1,1,2
"409",1,1,2,4
"410",1,1,2,3
"411",1,2,1,2
"412",1,1,2,3
"413",1,6,1,4
"414",1,2,1,2
"415",3,1,1,2
"416",1,2,1,4
"417",1,2,1,5
"418",1,2,2,3
"419",1,2,1,2
"420",2,6,2,3
"421",1,1,1,5
"422",1,2,1,3
"423",1,2,2,3
"424",1,2,1,4
"425",1,1,1,4
"426",1,6,2,3
"427",1,1,1,3
"428",1,1,1,3
"429",1,1,1,5
"430",1,6,1,3
"431",1,1,2,2
"432",1,3,1,5
"433",1,2,1,3
"434",1,2,1,3
"435",1,2,1,2
"436",1,1,2,4
"437",2,2,1,5
"438",1,2,2,2
"439",1,1,2,6
"440",1,1,1,4
"441",1,2,2,3
"442",1,1,1,5
"443",1,2,1,5
"444",1,1,1,5
"445",1,6,1,3
"446",1,2,1,3
"447",1,2,1,4
"448",1,1,1,5
"449",1,2,1,5
"450",2,6,2,4
"451",2,6,1,2
"452",1,2,2,2
"453",1,2,2,2
"454",1,2,1,2
"455",1,1,2,2
"456",1,1,2,2
"457",1,1,1,2
"458",1,1,1,2
"459",1,2,1,2
"460",1,1,1,5
"461",1,1,1,5
"462",1,6,1,3
"463",1,2,2,3
"464",1,2,1,5
"465",1,1,1,2
"466",1,1,1,5
"467",1,2,2,5
"468",1,1,1,6
"469",1,1,2,4
"470",1,1,1,5
"471",1,2,1,3
"472",1,6,1,5
"473",1,1,1,5
"474",1,2,1,2
"475",2,6,2,2
"476",1,1,1,2
"477",1,1,2,3
"478",1,2,1,5
"479",1,2,2,3
"480",1,1,2,5
"481",1,1,1,5
"482",2,6,1,2
"483",1,2,1,5
"484",1,1,1,2
"485",1,2,2,3
"486",1,1,1,5
"487",1,2,1,4
"488",3,6,1,2
"489",1,1,1,5
"490",1,1,1,4
"491",1,1,1,3
"492",1,1,2,3
"493",1,2,1,2
"494",1,2,1,4
"495",1,2,1,5
"496",1,2,2,2
"497",1,2,2,2
"498",1,1,2,5
"499",1,1,1,4
"500",1,1,1,4
"501",1,1,1,2
"502",1,1,1,5
"503",1,1,1,5
"504",1,2,1,2
"505",1,1,2,3
"506",1,1,1,2
"507",1,5,2,4
"508",1,1,2,3
"509",1,2,2,2
"510",1,2,1,5
"511",1,2,1,5
"512",1,1,2,3
"513",1,2,1,5
"514",1,6,2,2
"515",1,1,1,5
"516",1,2,1,5
"517",1,1,1,5
"518",2,6,2,2
"519",1,1,2,2
"520",1,1,1,5
"521",1,2,1,3
"522",1,2,2,2
"523",1,1,2,4
"524",1,1,1,5
"525",1,1,1,3
"526",1,1,2,5
"527",1,1,2,2
"528",1,1,1,4
"529",1,1,1,5
"530",1,1,2,4
"531",1,1,1,5
"532",1,2,1,1
"533",2,6,1,2
"534",1,1,2,6
"535",1,2,1,3
"536",1,2,1,2
"537",1,2,2,4
"538",2,6,3,2
"539",1,2,1,2
"540",1,2,2,2
"541",1,1,2,2
"542",1,1,1,5
"543",1,2,2,2
"544",1,1,1,5
"545",1,1,2,4
"546",1,1,2,3
"547",1,6,1,5
"548",1,1,1,2
"549",1,2,2,1
"550",1,1,1,2
"551",1,1,1,2
"552",1,2,1,5
"553",1,1,2,2
"554",1,2,1,4
"555",1,2,2,2
"556",1,2,1,6
"557",1,2,2,3
"558",1,2,2,5
"559",1,1,1,6
"560",1,2,2,2
"561",1,2,2,4
"562",1,1,2,1
"563",1,1,2,6
"564",1,1,2,4
"565",1,6,2,5
"566",1,6,2,3
"567",1,1,1,1
"568",1,6,1,3
"569",1,2,1,3
"570",1,2,2,2
"571",1,6,2,3
"572",2,6,2,2
"573",1,2,1,6
"574",1,1,2,3
"575",1,1,1,4
"576",1,6,2,3
"577",1,1,1,2
"578",1,1,1,5
"579",2,6,1,2
"580",1,6,2,3
"581",1,2,2,5
"582",1,1,2,2
"583",2,3,2,2
"584",1,3,1,4
"585",1,2,2,3
"586",1,2,1,3
"587",1,6,1,3
"588",1,1,2,3
"589",1,6,2,5
"590",1,1,1,6
"591",1,2,2,3
"592",1,1,2,6
"593",1,2,2,2
"594",1,1,1,5
"595",1,2,1,5
"596",1,2,1,6
"597",1,2,2,6
"598",1,1,1,3
"599",1,2,1,5
"600",1,1,2,3
"601",1,5,1,1
"602",1,1,1,3
"603",1,1,1,5
"604",1,2,2,5
"605",1,6,2,3
"606",2,6,2,5
"607",1,2,2,5
"608",1,2,1,4
"609",1,1,2,4
"610",2,6,1,5
"611",1,2,2,5
"612",1,2,1,5
"613",1,1,2,4
"614",1,2,2,4
"615",1,1,2,6
"616",1,2,2,5
"617",2,6,2,1
"618",1,1,1,6
"619",1,2,2,2
"620",1,6,1,2
"621",1,2,1,2
"622",1,1,2,5
"623",1,1,2,3
"624",1,1,2,3
"625",1,1,2,5
"626",1,2,1,4
"627",1,1,1,4
"628",1,1,1,6
"629",1,1,2,5
"630",1,1,1,6
"631",1,1,2,3
"632",1,1,1,2
"633",1,1,2,4
"634",1,1,2,3
"635",1,1,1,5
"636",1,1,2,6
"637",1,1,2,5
"638",1,1,2,2
"639",1,2,2,1
"640",1,2,2,2
"641",1,1,2,4
"642",1,2,2,2
"643",1,2,2,6
"644",1,1,2,5
"645",1,6,2,2
"646",1,6,2,4
"647",1,1,2,3
"648",1,2,1,4
"649",1,1,2,6
"650",1,6,1,2
"651",1,1,1,5
"652",1,2,1,4
"653",1,2,1,2
"654",3,6,2,2
"655",1,1,1,3
"656",1,1,2,2
"657",1,2,1,5
"658",1,1,2,4
"659",1,1,2,2
"660",1,1,2,3
"661",1,1,2,3
"662",1,1,1,5
"663",1,1,2,3
"664",1,1,2,6
"665",1,2,1,4
"666",1,1,2,5
"667",1,2,1,6
"668",1,2,1,5
"669",1,2,2,3
"670",1,6,1,1
"671",1,1,1,5
"672",1,1,2,5
"673",1,2,1,6
"674",1,1,2,6
"675",1,2,1,5
"676",1,6,2,3
"677",1,2,2,4
"678",1,1,1,3
"679",1,1,2,3
"680",1,2,1,6
"681",1,2,1,4
"682",1,1,1,3
"683",1,1,2,4
"684",1,1,1,5
"685",1,1,2,3
"686",1,1,2,2
"687",1,2,2,4
"688",1,6,1,2
"689",1,1,1,3
"690",1,2,1,2
"691",1,1,1,6
"692",1,6,2,3
"693",1,1,1,5
"694",1,1,1,2
"695",1,2,1,2
"696",1,3,1,5
"697",1,1,2,3
"698",1,6,1,5
"699",1,6,1,2
"700",1,2,2,2
"701",1,2,2,3
"702",1,1,2,6
"703",1,1,1,3
"704",1,2,1,2
"705",1,1,1,4
"706",1,2,1,5
"707",1,2,2,2
"708",1,3,2,5
"709",1,1,2,5
"710",1,2,2,1
"711",1,2,1,6
"712",1,2,1,3
"713",1,5,1,2
"714",1,2,1,3
"715",1,1,2,5
"716",1,2,1,3
"717",1,1,1,3
"718",1,1,1,5
"719",1,1,1,6
"720",1,2,1,5
"721",2,6,1,2
"722",1,1,2,5
"723",1,1,1,5
"724",1,1,1,5
"725",1,2,1,2
"726",1,1,1,5
"727",1,1,1,5
"728",1,1,2,4
"729",1,2,1,5
"730",1,2,1,4
"731",1,2,1,4
"732",1,1,1,5
"733",3,6,2,3
"734",1,1,2,3
"735",1,1,1,5
"736",1,6,2,4
"737",1,1,2,3
"738",1,2,1,2
"739",1,1,2,5
"740",1,2,1,3
"741",1,2,1,3
"742",1,2,1,3
"743",1,1,2,5
"744",2,6,2,2
"745",1,1,1,2
"746",1,2,2,5
"747",1,1,1,2
"748",1,2,1,4
"749",1,2,1,5
"750",1,2,1,5
"751",1,1,2,5
"752",1,2,1,3
"753",1,2,1,3
"754",1,1,2,6
"755",1,3,1,4
"756",1,1,1,3
"757",1,1,1,3
"758",1,1,1,3
"759",2,6,2,5
"760",1,1,1,5
"761",1,2,2,2
"762",1,1,1,3
"763",1,1,1,2
"764",1,5,1,5
"765",1,2,1,3
"766",1,2,1,5
"767",1,1,2,4
"768",1,3,2,4
"769",1,1,1,6
"770",1,6,2,5
"771",1,1,2,3
"772",1,2,1,1
"773",1,4,1,3
"774",1,6,1,5
"775",1,1,1,5
"776",1,2,1,5
"777",1,1,2,6
"778",1,2,2,5
"779",1,1,2,4
"780",1,1,1,5
"781",1,1,1,5
"782",1,6,2,4
"783",1,2,1,6
"784",1,1,2,3
"785",1,2,2,2
"786",1,1,1,3
"787",1,2,2,3
"788",1,1,2,2
"789",1,1,2,2
"790",1,1,1,2
"791",1,2,2,3
"792",1,1,2,3
"793",1,2,1,6
"794",1,1,2,5
"795",1,1,1,5
"796",2,6,2,3
"797",1,1,1,6
"798",2,6,2,2
"799",1,1,1,6
"800",1,2,1,3
"801",1,2,2,4
"802",1,2,2,4
"803",1,2,1,3
"804",1,1,1,6
"805",1,1,2,4
"806",1,2,1,6
"807",1,2,1,6
"808",3,6,2,2
"809",1,1,1,3
"810",1,1,1,5
"811",1,2,1,2
"812",1,1,2,2
"813",1,1,2,6
"814",1,1,1,2
"815",1,2,1,3
"816",1,1,1,5
"817",1,2,1,5
"818",1,4,2,5
"819",1,2,2,2
"820",1,1,2,6
"821",1,2,1,5
"822",1,2,2,3
"823",1,2,2,2
"824",1,2,2,2
"825",1,1,2,5
"826",1,1,1,5
"827",1,1,1,5
"828",1,2,1,4
"829",1,2,1,6
"830",1,1,1,5
"831",1,1,2,6
"832",1,2,1,5
"833",1,2,2,5
"834",1,1,2,3
"835",1,2,1,2
"836",1,2,2,6
"837",1,2,2,3
"838",1,1,1,3
"839",1,2,1,3
"840",1,1,1,5
"841",1,2,2,4
"842",1,2,1,3
"843",1,1,2,4
"844",1,1,2,5
"845",2,6,1,5
"846",1,2,1,5
"847",1,1,1,6
"848",1,2,1,3
"849",1,1,2,4
"850",1,1,2,6
"851",1,2,2,6
"852",1,1,1,2
"853",1,1,1,3
"854",1,1,1,5
"855",1,1,1,6
"856",1,2,1,2
"857",1,1,2,2
"858",2,6,1,1
"859",1,1,1,3
"860",1,2,2,6
"861",1,2,2,3
"862",1,2,2,5
"863",1,1,1,3
"864",1,6,2,4
"865",1,2,2,3
